Net Status Report
Filename     : C:\Users\Zeynep\Desktop\Zeynep\software\plugins\github\uz_d_gan_inverter_epc\GaN_Inverter\GanInverter.PcbDoc
Date         : 6/7/2023
Time         : 11:29:55 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR49A_1, Signal Layers Only, 23.1666mm
    NetR49B_1, Signal Layers Only, 23.2309mm
    NetR49C_1, Signal Layers Only, 20.949mm
    NetR4_1, Signal Layers Only, 2.7mm
    NetR50A_1, Signal Layers Only, 31.9625mm
    NetR50B_1, Signal Layers Only, 26.4744mm
    NetR50C_1, Signal Layers Only, 24.3468mm
    NetR51A_1, Signal Layers Only, 27.3629mm
    NetR51B_1, Signal Layers Only, 33.8326mm
    NetR51C_1, Signal Layers Only, 30.1179mm
    NetR52A_1, Signal Layers Only, 34.2339mm
    NetR52B_1, Signal Layers Only, 36.4425mm
    NetR52C_1, Signal Layers Only, 34.4993mm
    NetR53A_1, Signal Layers Only, 1.35mm
    NetR53B_1, Signal Layers Only, 1.35mm
    NetR53C_1, Signal Layers Only, 1.35mm
    NetR54A_1, Signal Layers Only, 1.4121mm
    NetR54B_1, Signal Layers Only, 1.4121mm
    NetR54C_1, Signal Layers Only, 1.4121mm
    NetR55A_2, Signal Layers Only, 7.2254mm
    NetR55B_2, Signal Layers Only, 6.8243mm
    NetR55C_2, Signal Layers Only, 7.2925mm
    NetR56A_2, Signal Layers Only, 9.4842mm
    NetR56B_2, Signal Layers Only, 10.881mm
    NetR56C_2, Signal Layers Only, 10.881mm
    NetR57A_2, Signal Layers Only, 6.557mm
    NetR57B_2, Signal Layers Only, 6.2856mm
    NetR57C_2, Signal Layers Only, 6.6181mm
    NetR58A_1, Signal Layers Only, 1.4699mm
    NetR58B_1, Signal Layers Only, 1.7633mm
    NetR58C_1, Signal Layers Only, 1.734mm
    NetR59A_1, Signal Layers Only, 1.4905mm
    NetR59B_1, Signal Layers Only, 1.4728mm
    NetR59C_1, Signal Layers Only, 1.4728mm
    NetR60A_1, Signal Layers Only, 1.8757mm
    NetR60B_1, Signal Layers Only, 1.9961mm
    NetR60C_1, Signal Layers Only, 1.8448mm
    NetR61A_1, Signal Layers Only, 1.4454mm
    NetR61B_1, Signal Layers Only, 1.5008mm
    NetR61C_1, Signal Layers Only, 1.2945mm
    NetR79_2, Signal Layers Only, 11.7501mm
    NetR84_1, Signal Layers Only, 5.3899mm
    NetR88_1, Signal Layers Only, 6.5746mm
    NetU10A_14, Signal Layers Only, 30.5972mm
    NetU10B_14, Signal Layers Only, 32.9845mm
    NetU10C_14, Signal Layers Only, 30.5972mm
    NetU9A_14, Signal Layers Only, 24.5705mm
    NetU9B_14, Signal Layers Only, 27.2543mm
    NetU9C_14, Signal Layers Only, 27.5658mm
    OCP_DC, Signal Layers Only, 143.3636mm
    OC_1, Signal Layers Only, 135.1768mm
    OC_2, Signal Layers Only, 158.4714mm
    OC_3, Signal Layers Only, 171.9738mm
    OT_H1, Signal Layers Only, 143.3226mm
    OT_H2, Signal Layers Only, 127.1859mm
    OT_H3, Signal Layers Only, 145.4067mm
    OT_L1, Signal Layers Only, 121.1927mm
    OT_L2, Signal Layers Only, 136.8276mm
    OT_L3, Signal Layers Only, 141.1555mm
    PHASE_CONNECTOR_1, Signal Layers Only, 117.5928mm
    PHASE_CONNECTOR_2, Signal Layers Only, 100.839mm
    PHASE_CONNECTOR_3, Signal Layers Only, 111.8986mm
    PWM_EN, Signal Layers Only, 125.2413mm
    PWM_H1, Signal Layers Only, 65.6213mm
    PWM_H2, Signal Layers Only, 75.4335mm
    PWM_H3, Signal Layers Only, 84.9401mm
    PWM_L1, Signal Layers Only, 131.1088mm
    PWM_L2, Signal Layers Only, 138.0203mm
    PWM_L3, Signal Layers Only, 96.7858mm
    PWM_out_HA, Signal Layers Only, 4.4572mm
    PWM_out_HB, Signal Layers Only, 4.3304mm
    PWM_out_HC, Signal Layers Only, 4.0396mm
    PWM_out_LA, Signal Layers Only, 4.3233mm
    PWM_out_LB, Signal Layers Only, 4.1385mm
    PWM_out_LC, Signal Layers Only, 4.3259mm
    TEMP_H1, Signal Layers Only, 62.8747mm
    TEMP_H2, Signal Layers Only, 51.0357mm
    TEMP_H3, Signal Layers Only, 79.2657mm
    TEMP_L1, Signal Layers Only, 50.1578mm
    TEMP_L2, Signal Layers Only, 54.2192mm
    TEMP_L3, Signal Layers Only, 76.3168mm
    UA_N, Signal Layers Only, 9.8328mm
    UA_P, Signal Layers Only, 9.7473mm
    UB_N, Signal Layers Only, 9.8327mm
    UB_P, Signal Layers Only, 9.7468mm
    UC_N, Signal Layers Only, 9.8323mm
    UC_P, Signal Layers Only, 9.7544mm
    U_OUT_N1, Signal Layers Only, 127.5875mm
    U_OUT_N2, Signal Layers Only, 142.6483mm
    U_OUT_N3, Signal Layers Only, 169.4424mm
    U_OUT_P1, Signal Layers Only, 127.1415mm
    U_OUT_P2, Signal Layers Only, 141.9807mm
    U_OUT_P3, Signal Layers Only, 169.2201mm
    VCOM_1A, Signal Layers Only, 4.568mm
    VCOM_1B, Signal Layers Only, 4.568mm
    VCOM_1C, Signal Layers Only, 4.568mm
    VCOM_2A, Signal Layers Only, 4.4549mm
    VCOM_2B, Signal Layers Only, 4.4549mm
    VCOM_2C, Signal Layers Only, 4.4549mm
    VCOM_3, Signal Layers Only, 4.485mm
    VCOM_4, Signal Layers Only, 4.4549mm
    VIN, Signal Layers Only, 156.5145mm
    VIN_unfuesed, Signal Layers Only, 20.1935mm
    V_DC, Signal Layers Only, 93.0954mm
    V_DC_N, Signal Layers Only, 9.8282mm
    V_DC_OUT_N, Signal Layers Only, 90.1463mm
    V_DC_OUT_P, Signal Layers Only, 91.5038mm
    V_DC_P, Signal Layers Only, 9.7516mm
count : 276
